doc_id,stock_code,stock_name,market,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,download_status,source,crawl_time,error_message,notes
600276_恒瑞医药_2021年报,600276,恒瑞医药,sh,恒瑞医药：恒瑞医药2021年年度报告,年度报告,2022-04-23,http://static.cninfo.com.cn/finalpage/2022-04-23/1213053755.PDF,http://static.cninfo.com.cn/finalpage/2022-04-23/1213053755.PDF,data/pdf/600276_恒瑞医药_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:00:24.746134,,
300760_迈瑞医疗_2021年报,300760,迈瑞医疗,sz,迈瑞医疗：2021年年度报告,年度报告,2022-04-20,http://static.cninfo.com.cn/finalpage/2022-04-20/1212976151.PDF,http://static.cninfo.com.cn/finalpage/2022-04-20/1212976151.PDF,data/pdf/300760_迈瑞医疗_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:00:27.974323,,
603259_药明康德_2021年报,603259,药明康德,sh,药明康德：2021年年度报告,年度报告,2022-03-24,http://static.cninfo.com.cn/finalpage/2022-03-24/1212651601.PDF,http://static.cninfo.com.cn/finalpage/2022-03-24/1212651601.PDF,data/pdf/603259_药明康德_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:00:31.244157,,
600196_复星医药_2021年报,600196,复星医药,sh,复星医药：复星医药2021年年度报告,年度报告,2022-03-23,http://static.cninfo.com.cn/finalpage/2022-03-23/1212645084.PDF,http://static.cninfo.com.cn/finalpage/2022-03-23/1212645084.PDF,data/pdf/600196_复星医药_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:00:34.602398,,
000661_长春高新_2021年报,000661,长春高新,sz,长春高新：2021年年度报告,年度报告,2022-03-17,http://static.cninfo.com.cn/finalpage/2022-03-17/1212594359.PDF,http://static.cninfo.com.cn/finalpage/2022-03-17/1212594359.PDF,data/pdf/000661_长春高新_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:03.010399,,
000538_云南白药_2021年报,000538,云南白药,sz,云南白药：2021年年度报告,年度报告,2022-03-26,http://static.cninfo.com.cn/finalpage/2022-03-26/1212688576.PDF,http://static.cninfo.com.cn/finalpage/2022-03-26/1212688576.PDF,data/pdf/000538_云南白药_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:06.296201,,
600436_片仔癀_2021年报,600436,片仔癀,sh,片仔癀：漳州片仔癀药业股份有限公司2021年年度报告,年度报告,2022-04-16,http://static.cninfo.com.cn/finalpage/2022-04-16/1212943402.PDF,http://static.cninfo.com.cn/finalpage/2022-04-16/1212943402.PDF,data/pdf/600436_片仔癀_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:09.570419,,
300015_爱尔眼科_2021年报,300015,爱尔眼科,sz,爱尔眼科：2021年年度报告,年度报告,2022-04-26,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101423.PDF,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101423.PDF,data/pdf/300015_爱尔眼科_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:12.871867,,
600763_通策医疗_2021年报,600763,通策医疗,sh,通策医疗：通策医疗股份有限公司2021年年度报告,年度报告,2022-04-28,http://static.cninfo.com.cn/finalpage/2022-04-28/1213168936.PDF,http://static.cninfo.com.cn/finalpage/2022-04-28/1213168936.PDF,data/pdf/600763_通策医疗_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:16.078807,,
002422_科伦药业_2021年报,002422,科伦药业,sz,科伦药业：2021年年度报告,年度报告,2022-04-11,http://static.cninfo.com.cn/finalpage/2022-04-11/1212856903.PDF,http://static.cninfo.com.cn/finalpage/2022-04-11/1212856903.PDF,data/pdf/002422_科伦药业_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:20.474290,,
000963_华东医药_2021年报,000963,华东医药,sz,华东医药：2021年年度报告,年度报告,2022-04-28,http://static.cninfo.com.cn/finalpage/2022-04-28/1213170749.PDF,http://static.cninfo.com.cn/finalpage/2022-04-28/1213170749.PDF,data/pdf/000963_华东医药_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:23.696239,,
002821_凯莱英_2021年报,002821,凯莱英,sz,凯莱英：2021年年度报告,年度报告,2022-03-31,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750308.PDF,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750308.PDF,data/pdf/002821_凯莱英_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:26.952625,,
300347_泰格医药_2021年报,300347,泰格医药,sz,泰格医药：2021年年度报告,年度报告,2022-03-29,http://static.cninfo.com.cn/finalpage/2022-03-29/1212706157.PDF,http://static.cninfo.com.cn/finalpage/2022-03-29/1212706157.PDF,data/pdf/300347_泰格医药_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:30.255069,,
300759_康龙化成_2021年报,300759,康龙化成,sz,康龙化成：2021年年度报告,年度报告,2022-03-28,http://static.cninfo.com.cn/finalpage/2022-03-28/1212688209.PDF,http://static.cninfo.com.cn/finalpage/2022-03-28/1212688209.PDF,data/pdf/300759_康龙化成_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:33.511891,,
300142_沃森生物_2021年报,300142,沃森生物,sz,沃森生物：2021年年度报告,年度报告,2022-03-19,http://static.cninfo.com.cn/finalpage/2022-03-19/1212626758.PDF,http://static.cninfo.com.cn/finalpage/2022-03-19/1212626758.PDF,data/pdf/300142_沃森生物_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:36.769978,,
600161_天坛生物_2021年报,600161,天坛生物,sh,天坛生物：天坛生物2021年年度报告,年度报告,2022-04-26,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101479.PDF,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101479.PDF,data/pdf/600161_天坛生物_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:41.020894,,
002603_以岭药业_2021年报,002603,以岭药业,sz,以岭药业：2021年年度报告,年度报告,2022-04-29,http://static.cninfo.com.cn/finalpage/2022-04-29/1213194798.PDF,http://static.cninfo.com.cn/finalpage/2022-04-29/1213194798.PDF,data/pdf/002603_以岭药业_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:45.331702,,
000999_华润三九_2021年报,000999,华润三九,sz,华润三九：2021年年度报告,年度报告,2022-03-26,http://static.cninfo.com.cn/finalpage/2022-03-26/1212687881.PDF,http://static.cninfo.com.cn/finalpage/2022-03-26/1212687881.PDF,data/pdf/000999_华润三九_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:48.625510,,
002223_鱼跃医疗_2021年报,002223,鱼跃医疗,sz,鱼跃医疗：2021年年度报告,年度报告,2022-04-23,http://static.cninfo.com.cn/finalpage/2022-04-23/1213059325.PDF,http://static.cninfo.com.cn/finalpage/2022-04-23/1213059325.PDF,data/pdf/002223_鱼跃医疗_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:51.886234,,
002475_立讯精密_2021年报,002475,立讯精密,sz,立讯精密：2021年年度报告,年度报告,2022-04-28,http://static.cninfo.com.cn/finalpage/2022-04-28/1213171817.PDF,http://static.cninfo.com.cn/finalpage/2022-04-28/1213171817.PDF,data/pdf/002475_立讯精密_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:55.143580,,
002415_海康威视_2021年报,002415,海康威视,sz,海康威视：2021年年度报告,年度报告,2022-04-16,http://static.cninfo.com.cn/finalpage/2022-04-16/1212941495.PDF,http://static.cninfo.com.cn/finalpage/2022-04-16/1212941495.PDF,data/pdf/002415_海康威视_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:01:58.364049,,
688981_中芯国际_2021年报,688981,中芯国际,sh,中芯国际：中芯国际2021年年度报告,年度报告,2022-03-31,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750692.PDF,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750692.PDF,data/pdf/688981_中芯国际_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:01.815971,,
603501_韦尔股份_2021年报,603501,韦尔股份,sh,韦尔股份：2021年年度报告全文,年度报告,2022-04-19,http://static.cninfo.com.cn/finalpage/2022-04-19/1212960545.PDF,http://static.cninfo.com.cn/finalpage/2022-04-19/1212960545.PDF,data/pdf/603501_韦尔股份_2021年报.pdf,success,cninfo_official_api,2026-06-15T11:02:28.042751,,
000725_京东方A_2021年报,000725,京东方A,sz,京东方Ａ：2021年年度报告,年度报告,2022-03-31,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750904.PDF,http://static.cninfo.com.cn/finalpage/2022-03-31/1212750904.PDF,data/pdf/000725_京东方A_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:11.505980,,
000063_中兴通讯_2021年报,000063,中兴通讯,sz,中兴通讯：2021年年度报告,年度报告,2022-03-09,http://static.cninfo.com.cn/finalpage/2022-03-09/1212529495.PDF,http://static.cninfo.com.cn/finalpage/2022-03-09/1212529495.PDF,data/pdf/000063_中兴通讯_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:14.786657,,
002371_北方华创_2021年报,002371,北方华创,sz,北方华创：2021年年度报告,年度报告,2022-04-28,http://static.cninfo.com.cn/finalpage/2022-04-28/1213168473.PDF,http://static.cninfo.com.cn/finalpage/2022-04-28/1213168473.PDF,data/pdf/002371_北方华创_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:34.023883,,
002049_紫光国微_2021年报,002049,紫光国微,sz,紫光国微：2021年年度报告,年度报告,2022-04-21,http://static.cninfo.com.cn/finalpage/2022-04-21/1213000423.PDF,http://static.cninfo.com.cn/finalpage/2022-04-21/1213000423.PDF,data/pdf/002049_紫光国微_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:37.289449,,
600703_三安光电_2021年报,600703,三安光电,sh,三安光电：三安光电股份有限公司2021年年度报告全文,年度报告,2022-04-26,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101999.PDF,http://static.cninfo.com.cn/finalpage/2022-04-26/1213101999.PDF,data/pdf/600703_三安光电_2021年报.pdf,success,cninfo_official_api,2026-06-14T17:02:40.547983,,
