doc_id,company_code,company_name,year,industry,rd_expense_total,rd_capitalized_amount,rd_expensed_amount,capitalization_rate,calculated_capitalization_rate,aggressiveness_score,is_anomaly,anomaly_type,inquiry_received,capitalization_related,capitalization_confidence,prediction_result,candidate_count,data_quality_notes
000063_中兴通讯_2021年报,000063,中兴通讯,2021,电子设备,1880400.0,180650.0,1699750.0,9.61,9.61,35.715,False,,False,False,0.0,,0,[]
000063_中兴通讯_2022年报,000063,中兴通讯,2022,电子设备,2160230.0,182140.0,1978090.0,8.43,8.43,25.9767,False,,False,False,0.0,,0,[]
000063_中兴通讯_2023年报,000063,中兴通讯,2023,电子设备,2678330.0,149410.0,2528920.0,5.58,5.58,39.4433,False,,False,False,0.0,,0,[]
000538_云南白药_2021年报,000538,云南白药,2021,医药制造,,,,,,,False,,False,False,0.0,,0,"['TODO: waiting for extract capitalization_rate', 'TODO: waiting for extract identity inputs', 'TODO: waiting for score', 'TODO: waiting for score inputs']"
000538_云南白药_2022年报,000538,云南白药,2022,医药制造,34274.81,602.44,33672.37,1.76,1.76,10.0,False,,False,False,0.0,,0,[]
000538_云南白药_2023年报,000538,云南白药,2023,医药制造,34444.15,842.8,33601.34,2.45,2.45,37.2175,False,,False,False,0.0,,0,[]
000661_长春高新_2021年报,000661,长春高新,2021,医药制造,105419.49,16969.03,88450.46,16.1,16.1,35.715,False,,False,False,0.0,,0,[]
000661_长春高新_2022年报,000661,长春高新,2022,医药制造,,,,,,,False,,False,False,0.0,,0,"['TODO: waiting for extract capitalization_rate', 'TODO: waiting for extract identity inputs', 'TODO: waiting for score', 'TODO: waiting for score inputs']"
000661_长春高新_2023年报,000661,长春高新,2023,医药制造,,,,,,,False,,False,False,0.0,,0,"['TODO: waiting for extract capitalization_rate', 'TODO: waiting for extract identity inputs', 'TODO: waiting for score', 'TODO: waiting for score inputs']"
000725_京东方A_2021年报,000725,京东方A,2021,电子设备,,,,,,,False,,False,False,0.0,,0,"['TODO: waiting for extract capitalization_rate', 'TODO: waiting for extract identity inputs', 'TODO: waiting for score', 'TODO: waiting for score inputs']"
000725_京东方A_2022年报,000725,京东方A,2022,电子设备,1260188.05,203626.43,1056561.62,16.16,16.16,50.645,True,industry_outlier,False,False,0.0,,0,[]
000725_京东方A_2023年报,000725,京东方A,2023,电子设备,1256335.27,209954.66,1046380.61,16.71,16.71,44.96,True,industry_outlier,False,False,0.0,,0,[]
